,Type,Start,End,Duration,Day of Week,Budget,Currency,Clicks,Impressions,Spent,CTR,CPC,CPI,Target Age,Target Gender,username,email,name,gender,age
0,AKX,2026-03-27,2027-07-10,470,Friday,166807,EUR,20445,500000,84312,0.04089,4.123844460748349,0.168624,35-40,F,victoria66,michele28@example.com,Susan Ortega,F,50
1,AKX,2025-04-11,2026-01-24,288,Friday,253111,USD,38847,500002,61052,0.0776936892252431,1.571601410662342,0.12210351158595366,35-45,F,victoria66,michele28@example.com,Susan Ortega,F,50
2,GRZ,2025-09-07,2027-03-01,540,Sunday,956218,EUR,7033,500000,661510,0.014066,94.05801222806768,1.32302,45-55,M,victoria66,michele28@example.com,Susan Ortega,F,50
3,GRZ,2024-08-14,2026-02-09,544,Wednesday,468863,EUR,70754,499998,466707,0.14150856603426415,6.59619244141674,0.9334177336709347,35-45,M,victoria66,michele28@example.com,Susan Ortega,F,50
4,GRZ,2025-08-20,2027-01-06,504,Wednesday,149417,EUR,67974,499999,50814,0.1359482718965438,0.7475505340277164,0.10162820325640651,25-35,B,victoria66,michele28@example.com,Susan Ortega,F,50
5,AKX,2026-06-10,2027-09-14,461,Wednesday,401950,GBP,42122,499998,268236,0.08424433697734791,6.368073690707943,0.5364741458965836,20-25,F,victoria66,michele28@example.com,Susan Ortega,F,50
6,KTR,2024-12-06,2026-11-03,697,Friday,207309,GBP,86331,499998,17788,0.1726626906507626,0.20604417880019923,0.035576142304569215,25-40,M,victoria66,michele28@example.com,Susan Ortega,F,50
7,KTR,2025-07-14,2026-01-08,178,Monday,650261,USD,5098,500003,414920,0.010195938824367054,81.38877991369165,0.829835020989874,45-70,B,victoria66,michele28@example.com,Susan Ortega,F,50
8,GRZ,2026-03-22,2026-05-14,53,Sunday,260716,GBP,19328,500001,37736,0.038655922688154626,1.9524006622516556,0.07547184905630189,25-35,M,obriencheyenne,angelavega@example.org,Mary Barry,F,34
9,BYU,2026-02-16,2026-12-18,305,Monday,204121,GBP,55319,500004,87036,0.11063711490308077,1.57334731285815,0.17407060743514052,40-55,M,obriencheyenne,angelavega@example.org,Mary Barry,F,34
10,AKX,2026-05-16,2026-09-08,115,Saturday,663573,EUR,44035,500001,620514,0.08806982386035228,14.091381855342341,1.2410255179489642,25-40,M,ewhite,bhartman@example.org,Heather Vazquez,F,41
11,GRZ,2025-02-25,2025-03-02,5,Tuesday,117858,EUR,17061,500001,76639,0.03412193175613649,4.492057909852881,0.15327769344461312,30-50,B,ewhite,bhartman@example.org,Heather Vazquez,F,41
12,GRZ,2024-09-15,2026-07-21,674,Sunday,463547,USD,34400,500003,24534,0.06879958720247678,0.7131976744186046,0.049067705593766435,35-45,B,ewhite,bhartman@example.org,Heather Vazquez,F,41
13,BYU,2024-11-16,2025-03-15,119,Saturday,312728,EUR,28868,500004,263660,0.057735538115695074,9.133296383538866,0.5273157814737482,35-60,F,ewhite,bhartman@example.org,Heather Vazquez,F,41
14,KTR,2025-05-30,2025-09-01,94,Friday,556629,USD,46776,500000,196845,0.093552,4.208247819394561,0.39369,30-40,M,qcarter,haley99@example.net,Roy Ortega PhD,M,40
15,GRZ,2025-07-09,2027-04-20,650,Wednesday,446284,EUR,55846,499997,144431,0.11169267015602094,2.5862371521684633,0.2888637331823991,35-55,B,qcarter,haley99@example.net,Roy Ortega PhD,M,40
16,AKX,2024-12-13,2025-06-11,180,Friday,959223,USD,49436,499996,532984,0.09887279098232786,10.781292984869326,1.0659765278122224,25-35,B,qcarter,haley99@example.net,Roy Ortega PhD,M,40
17,GRZ,2026-04-29,2026-06-25,57,Wednesday,258137,USD,34122,499998,185217,0.0682442729770919,5.428081589590294,0.370435481741927,35-60,M,qcarter,haley99@example.net,Roy Ortega PhD,M,40
18,AKX,2026-03-13,2027-05-24,437,Friday,707454,EUR,60263,499998,53012,0.12052648210592842,0.8796774140019581,0.10602442409769638,30-40,F,qcarter,haley99@example.net,Roy Ortega PhD,M,40
19,GRZ,2025-12-10,2026-04-09,120,Wednesday,880832,EUR,67560,500001,615892,0.13511972976054049,9.116222616933097,1.2317815364369271,20-45,M,qcarter,haley99@example.net,Roy Ortega PhD,M,40
20,GRZ,2025-07-10,2027-04-12,641,Thursday,140837,EUR,35339,500002,70570,0.07067771728913085,1.9969438863578484,0.14113943544225824,20-35,M,jonathan99,craig80@example.com,Jennifer Barnes,F,39
21,AKX,2025-12-01,2026-07-22,233,Monday,901524,GBP,11310,499999,714964,0.02262004524009048,63.215207780725024,1.4299308598617197,25-50,F,jonathan99,craig80@example.com,Jennifer Barnes,F,39
22,AKX,2026-06-09,2027-03-05,269,Tuesday,913034,GBP,15600,499999,752956,0.031200062400124802,48.26641025641025,1.5059150118300237,30-45,M,jonathan99,craig80@example.com,Jennifer Barnes,F,39
23,KTR,2024-08-28,2026-05-24,634,Wednesday,462199,EUR,47418,500000,83831,0.094836,1.7679151377114175,0.167662,35-40,F,jonathan99,craig80@example.com,Jennifer Barnes,F,39
24,GRZ,2025-01-27,2026-07-24,543,Monday,289320,GBP,59974,500001,278396,0.11994776010447979,4.641944842765199,0.5567908864182272,30-40,F,jonathan99,craig80@example.com,Jennifer Barnes,F,39
